商品名称,合约代码,名次,期货公司会员简称,成交量,比上交易日增减,期货公司会员简称,成交量,比上交易日增减,期货公司会员简称,成交量,比上交易日增减,
锌                  ,zn1806                        ,1,海通期货  ,4604,1149,中信期货  ,4678,391,中信期货  ,2753,-602,
锌                  ,zn1806                        ,2,鲁证期货  ,4029,877,上海中期  ,3978,-1495,五矿经易  ,1875,-112,
锌                  ,zn1806                        ,3,东证期货  ,3723,-628,中粮期货  ,3106,-414,一德期货  ,1720,-707,
锌                  ,zn1806                        ,4,上海中期  ,3186,2325,金瑞期货  ,2958,-28,迈科期货  ,1379,-7,
锌                  ,zn1806                        ,5,中信期货  ,3091,-1693,五矿经易  ,2709,13,首创期货  ,1118,134,
锌                  ,zn1806                        ,6,国富期货  ,1552,1095,银河期货  ,1700,103,铜冠金源  ,998,-527,
锌                  ,zn1806                        ,7,中银国际  ,1483,660,永安期货  ,1658,-215,东证期货  ,906,-5,
锌                  ,zn1806                        ,8,申万期货  ,1418,664,建信期货  ,1276,-21,中粮期货  ,891,-69,
锌                  ,zn1806                        ,9,一德期货  ,1405,-537,格林大华  ,918,-462,格林大华  ,749,0,
锌                  ,zn1806                        ,10,中粮期货  ,1377,795,大地期货  ,885,-30,云晨期货  ,700,0,
锌                  ,zn1806                        ,11,永安期货  ,1216,382,方正中期  ,759,-44,金瑞期货  ,638,82,
锌                  ,zn1806                        ,12,中融汇信  ,1212,290,国贸期货  ,686,-60,海通期货  ,596,-2,
锌                  ,zn1806                        ,13,铜冠金源  ,978,-256,一德期货  ,587,-80,华泰期货  ,586,69,
锌                  ,zn1806                        ,14,首创期货  ,865,612,宏源期货  ,388,324,中钢期货  ,555,-1,
锌                  ,zn1806                        ,15,方正中期  ,810,288,华泰期货  ,378,15,光大期货  ,449,-26,
锌                  ,zn1806                        ,16,广发期货  ,797,-531,首创期货  ,376,-31,广发期货  ,431,-3,
锌                  ,zn1806                        ,17,中辉期货  ,736,296,广州期货  ,360,-6,中财期货  ,414,-42,
锌                  ,zn1806                        ,18,宏源期货  ,691,-40,广发期货  ,325,-486,大有期货  ,404,60,
锌                  ,zn1806                        ,19,大有期货  ,656,30,迈科期货  ,321,-220,国贸期货  ,386,279,
锌                  ,zn1806                        ,20,光大期货  ,633,279,东华期货  ,305,-2,新湖期货  ,374,-48,
锌                  ,zn1807                        ,1,海通期货  ,39246,-2520,中信期货  ,13572,-798,中信期货  ,10778,-1576,
